6/28/2014,Sebastapol,Mike Fynan," Three Fifths of Scotch (Debra Tayleur , Eloise Blanchard, Ian Devoran, Del Eckels)"
7/6/2014,Mill Valley,Lisa Greenleaf [MA],"Stringrays (Rodney Miller [NH], Max Newman [MA])"
7/13/2014,Petaluma,Mavis McGaugh,"Luceo (Lee Anne Welch,Rebecca King ,Karl Franzen)"
7/18/2014,Santa Rosa,Kristin Seibert,"StringFire (Annie Rodier,Patti Cobb,Erik Ievins)"
7/26/2014,Sebastapol,Kalia Kliban,"Julian and the Upside Sound(Julian McClanahan, Brad McClanahan, Darin Smith, Michael Charnes)"
8/3/2014,Petaluma, Mike Fynan," Swing Farm (Ray Bierl, Charlie Hancock,Markie Sanders)"
8/7/2014,Mill Valley,Lynn Ackerson,"Latter Day Lizards/Blue Ribbon Dance Band (Dave Langford [MA], Peter Barnes, [MA], Bill Tomczak [OR], Stuart Kenney [MA])"
8/15/2014,Santa Rosa, Yoyo Zhou," (Gus Garelick,Don Coffin )"
8/23/2014,Sebastapol, Kelsey Hartman," (Larry Unger [MA], Audrey Knuth [MA])"
8/30/2014,Santa Rosa, Chuck Galt," (Erin Shrader, Richard Mandel)"
9/7/2014,Petaluma, Celia Ramsay," Celador [NC] (Gretchen Caverly,David Hayes)"
9/14/2014,San Rafael, Kelsey Hartman," Paddy Ryan's Dream (Chris Knepper, Charlie Hancock, Christie Hubbard)"
9/19/2014,Santa Rosa, Susan Petrick,"Whimsical (Debra Tayieur, Janette Duncan, Regan Hemphill, Beth Christian, Roxanne Oliva)"
9/27/2014,Sebastapol, Robin Steen," The Rosin Doctors (Erik Hoffman, Dan Engle, Topher Gayle)"
10/5/2014,Petaluma, Kelsey Hartman," StringFire (James MacQueen,Patti Cobb,Erik Ievins)"
10/11/2014,Mill Valley,Susan Pleck," (Rodney Miller [NH], Charlie Hancock)"
10/17/2014,Santa Rosa, Yoyo Zhou," (Ben Schreiber,Paul Machlis)"
10/18/2014,San Rafael,Yoyo Zhou," (Ben Schreiber, Paul Machlis, Paul Kotapish)"
10/23/2014,Petaluma, Mary Wesley [VT]," Pete's Posse (Pete Sutherland, Oliver Scanlon, Tristan Henderson)"
10/25/2014,Sebastapol, Lea Smith," Roadoilers (Mike Drayton, Jon Pederson, Perry Fly)"
11/2/2014,Petaluma, Susan Petrick," (Ben Schreiber, Chris Knepper, Charlie Hancock)"
11/16/2014,Mill Valley,Susan Michaels [SoCal]," Syncopaths (Ryan McKasson [WA],Ashley Brodey [SoCal], Jeff Spero [SoCal], Christa Burch [SoCal])"
11/20/2014,Mill Valley,George Marshall [MA]," Great Bear Duo (Andrew VanNorstrand [NY], Noah VanNorstrand [NY])"
11/21/2014,Santa Rosa, George Marshall," Great Bear Duo (Andrew VanNorstrand [NY], Noah VanNorstrand [NY])"
11/29/2014,Santa Rosa, Charlie Fenton," (Chris Knepper , Charlie Hancock)"
12/4/2014,San Rafael,Frannie Marr [SoCal]," (Rodney Miller [NH], Burke Treischmann, Chris Knepper)"
12/7/2014,Petaluma, Frannie Marr [SoCal]," (Rodney Miller [NH], David Cahn [WA],Charlie Hancock)"
12/19/2014,Santa Rosa,Lynn Ackerson,"The Crabapples (Marta Lynch, Bob Silberstein, Norm Cotton, Teresa Fife)"
12/31/2014,Santa Rosa,Warren Blier," Bonfire [SoCal] (Bonnie Insull, Frank Hoppe, Richard Scher, Victor Garza)"
1/4/2015,Petaluma, Lea Smith," (Gus Garelick,Don Coffin)"
1/10/2015,San Rafael,  Kelsey Hartman,"StringFire (Annie Rodier,Patti Cobb,Erik Ievins)"
1/16/2015,Santa Rosa, Jack Mitchell [NC]," Stringtown Ambassadors [NC] (Arlo Blaisus, Rosalind Parducci)"
1/24/2015,Sebastapol, Celia Ramsay," Ruby Mt. String Band (Cliff Landis, Julia Landis , Darin Smith)"
1/31/2015,Santa Rosa, Chuck Galt," Stringtown Ambassadors (Arlo Blaisus, Rosalind Parducci)"
2/1/2015,Petaluma, Erik Hoffman," Mercury Rising (Lee Anne Welch, Ruth Anne Fraley, Topher Gayle)"
2/14/2015,San Rafael,Warren Blier," (Blaine Sprouse - fiddle,Ray Bierl,Markie Sanders)"
2/20/2015,Santa Rosa, Jean Gibson-Gorrindo,"(Marta Lynch,Bob Silberstein,Elizabeth)"
2/26/2015,San Rafael,Susan Petrick,"(Rodney Miller [NH], Burke Trieschmann)"
2/28/2015,Sebastapol, Mike Fynan," (Lee Anne Welch, Dave Courchaine)"
3/5/2015,San Rafael,Rachel Shapiro Wallace [IL]," Sassafras Stomp (Johanna Davis [ME], Adam Nordell [ME])"
3/8/2015,Petaluma, Rachel Shapiro [IL],"  Sassafras Stomp (Johanna Davis [ME], Adam Nordell [ME])"
3/20/2015,Santa Rosa, Kelsey Hartman,"StringFire (James MacQueen,Patti Cobb,Erik Ievins)"
3/29/2015,Mill Valley,Nils Fredland [NH]," Notorious (Eden Macadam-Somer [MA], Larry Unger [MA])"
4/5/2015,Petaluma, Yoyo Zhou," Seaglass [MA] (Andrew VanNorstrand,Eileen Nicholson,Rachel Bell)"
4/11/2015,Mill Valley,Lynn Ackerson," (Rodney Miller [NH], Jeff Spero [SoCal])"
4/12/2015,Petaluma,Lynn Ackerson," (Rodney Miller [NH], Jeff Spero [SoCal])"
4/17/2015,Santa Rosa, Erik Hoffman," (Rodney Miller [NH], Jeff Spero [LA])"
4/25/2015,Sebastapol, Kalia Kliban," Mental Notes (Michael Harmon , Roxanne Oliva, Rebecca Richman)"
5/3/2015,Petaluma, Ric Goldman [OR]," The Raggedy Annes (Anne Goess, Andy Eggleston, Charlie Hancock)"
5/9/2015,San Rafael,Kalia Kliban,"The Crabapples (Marta Lynch,Bob Silberstein,Norm Cotton,Teresa Fife)"
5/15/2015,Santa Rosa, Kalia Kliban," Luceo (Lee Anne Welch,Rebecca King,Karl Franzen)"
5/23/2015,Sebastapol, Lea Smith," Whimsical (Janette Duncan , Regan Hemphill , Roxanne Oliva, Beth Christian , Debra Tayleur) "
5/30/2015,Santa Rosa, Gaye Fifer [PA],"Coffee Zombies (Bob Douglas [KY],Dianna Davis [IN], Tom Cunningham [KY])"
6/7/2015,Petaluma, Gaye Fifer [PA]," Coffee Zombies (Bob Douglas [KY],Dianna Davis [IN], Tom Cunningham [KY])"
6/13/2015,San Rafael,Erik Hoffman," (Rodney Miller [NH], Charlie Hancock)"
6/21/2015,Mill Valley,Lisa Greenleaf [MA]," Hotpoint String Band (Hilarie Burhans,Mark Burhans,Marlene Shostak,Nick Weiland,Mark Hellenberg)"
6/27/2015,Sebastapol, Kelsey Hartman," (Laura Light [VA] , George Paul [VA])"
7/5/2015,Petaluma, Mavis McGaugh,"  Tripleplay (Ben Schreiber,Chris Knepper,Charlie Hancock)"
7/11/2015,Mill Valley,Eric Black," (Rodney Miller [NH],Paul Kotapish,Daniel Steinberg)"
7/17/2015,Santa Rosa, Lea Smith," (Gus Garelick , Don Coffin)"
7/25/2015,Sebastapol, Robin Steen," Roadoilers (Mike Drayton , John Pedersen, Perry Fly)"
8/2/2015,Petaluma, Chuck Abell [NY]," StringFire (Erik Ievins,Annie Rodier,James MacQueen,Patti Cobb)"
8/6/2015,San Rafael,Kelsey Hartman,"The Morrison Brothers [MA] (Jim Morrison,Owen Morrison,Will Morrison,Nathan Wilson)"
8/21/2015,Santa Rosa, Frannie Marr [SoCal]," Steam (Allice Boyle [KS], Dave Firestine [CO], Claire Jamieson Zucher [AZ], Robert Rosenberg [KS])"
8/27/2015,Mill Valley,Jean Gibson-Gorrido,"Stringrays (Rodney Miller [NH], Stuart Kenney [MA], Max Newman [MA])"
8/29/2015,Santa Rosa, Lynn Ackerson," (Larry Unger [MA] , Audrey Knuth [MA]) "
9/6/2015,Petaluma, Alan Winston," BLAM! (Marta Lynch,Bob Silberstein,Elizabeth Todd)"
9/12/2015,San Rafael,Warren Blier,"StringFire (Annie Rodier,James MacQueen,Patti Cobb,Erik Ievins)"
9/18/2015,Santa Rosa, Susan Pleck,"StringFire (Annie Rodier,James MacQueen,Patti Cobb,Erik Ievins)"
9/26/2015,Sebastapol, Mike Fynan," Ruby Mt. String Band (Cliff Landis , Julia Landis , Darin Smith)"
